MIN(CCHAR1)
a
MIN(CCHAR2)
aa
MIN(CCHAR3)
aaa
MIN(CCHAR4)
aaaa
MIN(CCHAR5)
aaaaa
MIN(CCHAR6)
aaaaaa
MIN(CCHAR7)
aaaaaaa
MIN(CCHAR8)
aaaaaaaa
MIN(CCHAR9)
aaaaaaaaa
MIN(CCHAR255)
aaaaaaaaaa
MIN(CVCHAR1)
a
MIN(CVCHAR2)
aa
MIN(CVCHAR3)
aaa
MIN(CVCHAR4)
aaaa
MIN(CVCHAR5)
aaaaa
MIN(CVCHAR6)
aaaaaa
MIN(CVCHAR7)
aaaaaaa
MIN(CVCHAR8)
aaaaaaaa
MIN(CVCHAR255)
aaaaaaaaaa
cidx	CCHAR1	MIN(CCHAR1)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR2	MIN(CCHAR2)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR3	MIN(CCHAR3)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR4	MIN(CCHAR4)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR5	MIN(CCHAR5)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR6	MIN(CCHAR6)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR7	MIN(CCHAR7)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR8	MIN(CCHAR8)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR9	MIN(CCHAR9)
1	aaaaaaaaa	aaaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CCHAR255	MIN(CCHAR255)
1	aaaaaaaaaa	aaaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzzz
11	NULL	NULL
cidx	CVCHAR1	MIN(CVCHAR1)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR2	MIN(CVCHAR2)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR3	MIN(CVCHAR3)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR4	MIN(CVCHAR4)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR5	MIN(CVCHAR5)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR6	MIN(CVCHAR6)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR7	MIN(CVCHAR7)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR8	MIN(CVCHAR8)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR255	MIN(CVCHAR255)
1	aaaaaaaaaa	aaaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzzz
11	NULL	NULL
