cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
11	0
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
11	0.00
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
