cidx	SPACE(0)
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
cidx	SPACE(1)
1	 
2	 
3	 
4	 
5	 
6	 
7	 
8	 
9	 
10	 
11	 
cidx	SPACE(18)
1	                  
2	                  
3	                  
4	                  
5	                  
6	                  
7	                  
8	                  
9	                  
10	                  
11	                  
cidx	SPACE(50)
1	                                                  
2	                                                  
3	                                                  
4	                                                  
5	                                                  
6	                                                  
7	                                                  
8	                                                  
9	                                                  
10	                                                  
11	                                                  
