cidx	CBIGINT	SQRT(CBIGINT)
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	8487452.78489389
7	72036854775804	8487452.78489395
8	72036854775805	8487452.784894
9	72036854775806	8487452.78489406
10	72036854775807	8487452.78489412
11	0	0
cidx	CDECIMAL1	SQRT(CDECIMAL1)
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	2.23606797749979
7	6	2.44948974278318
8	7	2.64575131106459
9	8	2.82842712474619
10	9	3
11	0	0
cidx	CDECIMAL4	SQRT(CDECIMAL4)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	31.543620591175
7	996	31.559467676119
8	997	31.5753068076939
9	998	31.5911379978626
10	999	31.6069612585582
11	0	0
cidx	CDECIMAL4_2	SQRT(CDECIMAL4_2)
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	3.1543620591175
7	9.96	3.1559467676119
8	9.97	3.15753068076939
9	9.98	3.15911379978626
10	9.99	3.16069612585582
11	0.00	0
cidx	CDECIMAL5	SQRT(CDECIMAL5)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	31.543620591175
7	996	31.559467676119
8	997	31.5753068076939
9	998	31.5911379978626
10	999	31.6069612585582
11	0	0
cidx	CDECIMAL9	SQRT(CDECIMAL9)
1	-999999	NULL
2	-999998	NULL
3	-999997	NULL
4	-999996	NULL
5	-999995	NULL
6	999995	999.997499996875
7	999996	999.997999998
8	999997	999.998499998875
9	999998	999.9989999995
10	999999	999.999499999875
11	0	0
cidx	CDECIMAL9_2	SQRT(CDECIMAL9_2)
1	-9999.99	NULL
2	-9999.98	NULL
3	-9999.97	NULL
4	-9999.96	NULL
5	-9999.95	NULL
6	9999.95	99.9997499996875
7	9999.96	99.9997999998
8	9999.97	99.9998499998875
9	9999.98	99.99989999995
10	9999.99	99.9999499999875
11	0.00	0
cidx	CDECIMAL10	SQRT(CDECIMAL10)
1	-9999999	NULL
2	-9999998	NULL
3	-9999997	NULL
4	-9999996	NULL
5	-9999995	NULL
6	9999995	3162.27686959887
7	9999996	3162.27702771278
8	9999997	3162.27718582669
9	9999998	3162.2773439406
10	9999999	3162.27750205449
11	0	0
cidx	CDECIMAL18	SQRT(CDECIMAL18)
1	-9999999999999	NULL
2	-9999999999998	NULL
3	-9999999999997	NULL
4	-9999999999996	NULL
5	-9999999999995	NULL
6	9999999999995	3162277.66016759
7	9999999999996	3162277.66016775
8	9999999999997	3162277.66016791
9	9999999999998	3162277.66016806
10	9999999999999	3162277.66016822
11	0	0
cidx	CDECIMAL18_2	SQRT(CDECIMAL18_2)
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	316227.766016759
7	99999999999.96	316227.766016775
8	99999999999.97	316227.766016791
9	99999999999.98	316227.766016806
10	99999999999.99	316227.766016822
11	0.00	0
cidx	CINTEGER	SQRT(CINTEGER)
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	2735.62479152387
7	7483644	2735.62497429746
8	7483645	2735.62515707105
9	7483646	2735.62533984462
10	7483647	2735.62552261818
11	0	0
cidx	CSMALLINT	SQRT(CSMALLINT)
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	27.6224546338663
7	764	27.6405499221705
8	765	27.6586333718787
9	766	27.6767050061961
10	767	27.6947648482525
11	0	0
cidx	CTINYINT	SQRT(CTINYINT)
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	4.79583152331272
7	24	4.89897948556636
8	25	5
9	26	5.09901951359278
10	27	5.19615242270663
11	0	0
cidx	SQRT(122)
1	11.0453610171873
2	11.0453610171873
3	11.0453610171873
4	11.0453610171873
5	11.0453610171873
6	11.0453610171873
7	11.0453610171873
8	11.0453610171873
9	11.0453610171873
10	11.0453610171873
11	11.0453610171873
cidx	SQRT(324)
1	18
2	18
3	18
4	18
5	18
6	18
7	18
8	18
9	18
10	18
11	18
cidx	SQRT(33)
1	5.74456264653803
2	5.74456264653803
3	5.74456264653803
4	5.74456264653803
5	5.74456264653803
6	5.74456264653803
7	5.74456264653803
8	5.74456264653803
9	5.74456264653803
10	5.74456264653803
11	5.74456264653803
cidx	SQRT(54)
1	7.34846922834953
2	7.34846922834953
3	7.34846922834953
4	7.34846922834953
5	7.34846922834953
6	7.34846922834953
7	7.34846922834953
8	7.34846922834953
9	7.34846922834953
10	7.34846922834953
11	7.34846922834953
cidx	SQRT(9)
1	3
2	3
3	3
4	3
5	3
6	3
7	3
8	3
9	3
10	3
11	3
cidx	SQRT(81)
1	9
2	9
3	9
4	9
5	9
6	9
7	9
8	9
9	9
10	9
11	9
cidx	SQRT(1)
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
cidx	SQRT(4)
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
cidx	SQRT(11.2)
1	3.3466401061363
2	3.3466401061363
3	3.3466401061363
4	3.3466401061363
5	3.3466401061363
6	3.3466401061363
7	3.3466401061363
8	3.3466401061363
9	3.3466401061363
10	3.3466401061363
11	3.3466401061363
cidx	SQRT(39.457)
1	6.28148071715579
2	6.28148071715579
3	6.28148071715579
4	6.28148071715579
5	6.28148071715579
6	6.28148071715579
7	6.28148071715579
8	6.28148071715579
9	6.28148071715579
10	6.28148071715579
11	6.28148071715579
cidx	SQRT(672.12)
1	25.925277240562
2	25.925277240562
3	25.925277240562
4	25.925277240562
5	25.925277240562
6	25.925277240562
7	25.925277240562
8	25.925277240562
9	25.925277240562
10	25.925277240562
11	25.925277240562
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
11	0
6	23
7	24
8	25
9	26
10	27
