cidx	CDATE	WEEK(CDATE)
1	1997-01-01	0
2	1997-01-01	0
3	1997-01-02	0
4	1997-01-03	0
5	1997-01-04	0
6	2009-12-28	52
7	2009-12-29	52
8	2009-12-30	52
9	2009-12-31	52
10	2009-12-31	52
11	2009-12-31	52
cidx	CDATETIME	WEEK(CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	52
7	2009-12-31 23:59:57	52
8	2009-12-31 23:59:58	52
9	2009-12-31 23:59:59	52
10	2009-12-31 23:59:59	52
11	2009-12-31 23:59:59	52
cidx	WEEK('2009-02-28')
1	8
2	8
3	8
4	8
5	8
6	8
7	8
8	8
9	8
10	8
11	8
cidx	WEEK('2009-07-04')
1	26
2	26
3	26
4	26
5	26
6	26
7	26
8	26
9	26
10	26
11	26
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
