cidx	CDATE	YEARWEEK(CDATE)
1	1997-01-01	199652
2	1997-01-01	199652
3	1997-01-02	199652
4	1997-01-03	199652
5	1997-01-04	199652
6	2009-12-28	200952
7	2009-12-29	200952
8	2009-12-30	200952
9	2009-12-31	200952
10	2009-12-31	200952
11	2009-12-31	200952
cidx	CDATETIME	YEARWEEK(CDATETIME)
1	1997-01-01 00:00:00	199652
2	1997-01-01 00:00:01	199652
3	1997-01-02 00:00:01	199652
4	1997-01-03 00:00:02	199652
5	1997-01-04 00:00:03	199652
6	2009-12-31 23:59:56	200952
7	2009-12-31 23:59:57	200952
8	2009-12-31 23:59:58	200952
9	2009-12-31 23:59:59	200952
10	2009-12-31 23:59:59	200952
11	2009-12-31 23:59:59	200952
cidx	YEARWEEK('2009-02-28')
1	200908
2	200908
3	200908
4	200908
5	200908
6	200908
7	200908
8	200908
9	200908
10	200908
11	200908
cidx	YEARWEEK('2009-07-04')
1	200926
2	200926
3	200926
4	200926
5	200926
6	200926
7	200926
8	200926
9	200926
10	200926
11	200926
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
