l_orderkey	l_linenumber	l_quantity
3107872	1	36.00
3128131	1	23.00
3139845	1	43.00
3151744	3	27.00
3162278	2	50.00
3162278	4	41.00
3163332	6	30.00
3164582	6	11.00
3166273	2	20.00
3168421	2	3.00
3168421	5	14.00
3170817	1	40.00
3178627	4	12.00
3179907	2	46.00
3200098	1	47.00
3200134	1	34.00
3221027	2	1.00
3230150	5	29.00
3230150	6	30.00
3239718	1	7.00
3239718	4	16.00
3251169	2	25.00
3251169	4	48.00
3261666	1	47.00
3262020	1	3.00
3266661	7	18.00
3281600	1	6.00
3281600	2	41.00
3281600	3	23.00
3283011	7	22.00
3288036	2	27.00
3294368	2	30.00
3310917	3	43.00
3310917	4	19.00
3323874	3	20.00
3323874	4	28.00
3323874	5	2.00
3328643	1	25.00
3328643	2	3.00
3331813	1	44.00
3332997	5	36.00
3336135	1	9.00
3336135	2	21.00
3359328	5	6.00
3413377	2	35.00
3416353	3	47.00
3425442	1	3.00
3454982	1	35.00
3463427	5	10.00
3476934	1	24.00
3482371	1	24.00
3519173	2	28.00
3525316	2	18.00
3525316	4	28.00
3525316	7	7.00
3529059	3	29.00
3566017	1	43.00
3566182	1	33.00
3567874	3	5.00
3581440	4	29.00
3593636	7	19.00
3601670	2	22.00
3610086	2	43.00
3610086	3	24.00
3623072	4	38.00
3623492	2	39.00
3623492	3	10.00
3637637	2	29.00
3637924	2	25.00
3637924	4	50.00
3667971	2	26.00
3667971	3	23.00
3667971	5	35.00
3696644	3	6.00
3699238	2	45.00
3699238	4	18.00
3711014	1	6.00
3711717	6	50.00
3729473	2	21.00
3739234	1	5.00
1001895	6	7.00
1012000	1	46.00
1015878	2	27.00
1015878	6	23.00
1019523	1	30.00
1024423	3	22.00
1048386	4	40.00
1056099	3	45.00
1056099	5	47.00
1067175	2	2.00
1067175	5	21.00
1073221	4	32.00
1073221	5	17.00
1092007	1	11.00
1092007	4	38.00
1092007	6	29.00
1095745	4	41.00
1095745	6	36.00
1145475	4	20.00
1145475	5	25.00
1168417	2	35.00
1168417	5	33.00
1168417	6	18.00
1172003	7	49.00
1183429	3	6.00
1186502	1	11.00
1186502	2	1.00
1200002	3	23.00
1222496	2	39.00
1225764	1	8.00
1244512	6	49.00
1248736	3	35.00
1260289	6	17.00
1260289	7	35.00
1261926	4	6.00
1261926	5	22.00
1267716	2	29.00
1267716	3	13.00
1267716	5	33.00
1271111	2	15.00
1275170	2	41.00
1277570	1	22.00
1277570	4	37.00
1277570	5	2.00
1277570	6	20.00
1279012	1	18.00
1282118	1	8.00
1284775	1	30.00
1284775	2	38.00
1284775	6	35.00
1296327	1	50.00
1313091	1	45.00
1313091	3	20.00
1321185	3	34.00
1321185	4	27.00
1327936	5	26.00
1328994	1	26.00
1361987	1	28.00
1364257	1	31.00
1364257	2	39.00
1364483	2	3.00
1366212	5	43.00
1381440	1	23.00
1381440	3	46.00
1388930	1	41.00
1388930	7	18.00
1391941	1	46.00
1391941	3	40.00
1399585	1	41.00
1411110	1	13.00
1411110	2	6.00
1412998	5	3.00
1412998	7	21.00
1422758	1	16.00
1440737	3	1.00
1449607	3	15.00
1457056	5	24.00
1457511	1	48.00
1470497	1	34.00
1470787	3	15.00
1470787	6	14.00
1494052	6	12.00
1500608	1	5.00
1500608	3	39.00
1510212	1	4.00
1510212	2	48.00
1510212	4	37.00
1532929	1	4.00
1552003	4	43.00
1552003	5	43.00
