l_orderkey	l_linenumber	l_quantity
3178627	4	12.00
3251169	2	25.00
3251169	4	48.00
3783492	2	25.00
3783492	5	25.00
4243142	3	44.00
2290245	3	18.00
2290245	5	24.00
2290245	6	31.00
5612065	2	27.00
3069221	2	2.00
3487745	1	42.00
3683623	1	25.00
3683623	3	33.00
3952544	1	38.00
1521157	1	50.00
1521157	2	22.00
4428354	1	43.00
4428354	4	19.00
5091364	1	5.00
5091364	2	23.00
269922	2	10.00
212870	1	39.00
374723	2	44.00
374723	5	48.00
816323	4	25.00
859108	2	33.00
1406820	6	6.00
2014848	3	48.00
2290245	4	48.00
3069221	1	13.00
3916288	1	15.00
3916288	4	6.00
3683623	2	3.00
3683623	4	35.00
3952544	3	17.00
4428354	2	3.00
2420194	2	41.00
5612065	1	22.00
3178627	2	26.00
3783492	1	4.00
3783492	4	25.00
4243392	1	41.00
224167	3	18.00
269922	3	44.00
816323	1	12.00
859108	3	3.00
1709703	6	32.00
2665734	1	26.00
36422	5	31.00
374723	4	25.00
374723	6	17.00
579908	1	33.00
1925447	6	12.00
2014848	1	44.00
2014848	2	30.00
916775	3	26.00
916775	5	3.00
1406820	2	48.00
1406820	5	15.00
2290245	1	46.00
4976422	3	8.00
4976422	5	31.00
4976422	7	24.00
3431909	2	38.00
2420194	1	6.00
2420194	3	27.00
3986496	3	49.00
3986496	6	14.00
3986496	7	44.00
491620	2	14.00
491620	3	17.00
1485505	5	10.00
1485505	6	50.00
1572644	1	41.00
1572644	3	19.00
1572644	4	40.00
1572644	5	14.00
3178627	1	5.00
3178627	3	49.00
3783492	3	46.00
3783492	6	2.00
4129186	1	4.00
4342725	1	10.00
4405509	1	6.00
4405509	2	42.00
4405509	3	6.00
4405509	7	27.00
4976422	2	43.00
4976422	6	29.00
1485505	1	46.00
1485505	2	34.00
1485505	3	6.00
1543201	5	3.00
1543201	7	39.00
100064	1	46.00
224167	1	7.00
269922	1	22.00
269922	4	1.00
1192231	1	29.00
1192231	5	26.00
5106981	1	33.00
1406820	1	29.00
