l_orderkey	l_linenumber	l_quantity
3366533	1	23.00
3366723	1	50.00
3366723	2	24.00
3369669	2	6.00
3371297	3	27.00
3371905	3	2.00
3371905	5	41.00
3371905	6	48.00
3375397	3	41.00
3377447	3	21.00
3377447	4	14.00
3379783	1	32.00
3379783	3	27.00
3379783	5	2.00
3381700	2	15.00
3381700	3	29.00
3385287	2	30.00
3393604	7	7.00
3393732	4	35.00
3393732	5	34.00
3393732	6	12.00
3402148	4	29.00
3404420	2	2.00
3404647	4	28.00
3404807	4	26.00
3406724	1	47.00
3406724	3	7.00
3412003	3	14.00
3412356	5	11.00
3412962	1	8.00
3417382	3	46.00
3417382	6	34.00
3420546	4	47.00
3423459	1	33.00
3423459	2	46.00
3423459	3	14.00
3423815	2	29.00
3430980	1	45.00
3430980	3	23.00
3433058	2	14.00
3433058	3	6.00
3433191	1	26.00
3433281	1	5.00
3433281	2	24.00
3433475	1	8.00
3443011	3	2.00
3451616	1	31.00
3451616	2	36.00
3451616	4	29.00
3456001	2	24.00
3456001	5	24.00
3458435	1	31.00
3459939	6	31.00
3466625	1	27.00
3473442	2	9.00
3476165	1	34.00
3481733	1	31.00
3481733	2	23.00
3485478	1	43.00
3489446	3	1.00
3497795	1	8.00
3498338	1	15.00
3498338	2	40.00
3500866	1	44.00
3500866	4	33.00
3500866	5	13.00
3501319	5	4.00
3507074	3	12.00
3508866	1	11.00
3508866	4	13.00
3509093	1	49.00
3509093	5	15.00
3509376	3	11.00
3511106	1	46.00
3511106	2	44.00
3511106	4	50.00
3513286	1	7.00
3515811	3	3.00
3515811	5	2.00
3517795	1	16.00
3517795	3	1.00
3517795	4	10.00
3518468	1	10.00
3518691	1	32.00
3522150	3	50.00
3522150	4	16.00
3523552	6	49.00
3524994	4	10.00
3531300	2	12.00
3531300	3	37.00
3531300	4	31.00
3531300	5	35.00
3533344	1	47.00
3533344	2	44.00
3533344	3	14.00
3535650	2	9.00
3542915	2	19.00
3551527	1	25.00
3557571	1	38.00
3557604	2	3.00
3558721	4	20.00
3558721	6	21.00
3566627	4	37.00
3569538	4	50.00
3570785	5	31.00
3570785	6	48.00
3570785	7	7.00
3574853	7	38.00
3579555	4	17.00
3585889	1	5.00
3585889	3	13.00
3590819	4	46.00
3593671	2	7.00
3597027	3	48.00
3597027	7	10.00
3597889	2	45.00
3600164	1	50.00
3601088	2	37.00
3601954	1	32.00
3601954	2	33.00
3602214	1	37.00
3602214	3	11.00
3616038	1	29.00
3624096	1	35.00
3624096	4	7.00
3625440	2	21.00
3631844	1	22.00
3631844	4	46.00
3633441	1	50.00
3633441	3	4.00
3633441	4	24.00
3638309	2	18.00
3649600	1	26.00
3650976	2	49.00
3650976	3	20.00
3650976	4	20.00
3650976	5	47.00
3655426	1	42.00
3655426	3	20.00
3657062	3	31.00
3659010	1	8.00
3659010	2	43.00
3659010	3	30.00
3661478	5	26.00
3665474	2	37.00
3666566	1	35.00
3667970	1	40.00
3667970	2	22.00
3667970	3	37.00
3667970	4	20.00
3667970	6	8.00
3668068	4	40.00
3668068	7	45.00
3669637	1	42.00
3672485	4	20.00
3676038	3	36.00
3676901	1	19.00
3676901	3	32.00
3681571	3	1.00
3682563	1	8.00
3683235	1	40.00
3683235	2	48.00
3685220	1	19.00
3689185	4	13.00
3693412	1	35.00
3697795	1	13.00
3697795	2	3.00
3698823	1	22.00
3698823	2	42.00
3699079	1	11.00
3701696	2	50.00
3702757	6	24.00
3709602	1	10.00
3711330	1	24.00
3711874	2	29.00
3716455	1	45.00
3716455	2	33.00
3716455	7	37.00
3717317	2	7.00
3717317	3	50.00
3717317	5	10.00
3717317	6	6.00
3719044	1	9.00
3719044	2	50.00
3720516	2	23.00
3720710	1	7.00
3720710	4	2.00
3722692	1	49.00
3725412	3	17.00
3725924	1	23.00
3725924	4	33.00
3726497	3	8.00
3729763	1	20.00
3733220	1	37.00
3733220	3	9.00
3734214	2	22.00
3745794	3	6.00
3747556	2	37.00
3747556	3	6.00
3747556	4	20.00
3751911	2	8.00
3751911	4	28.00
3753572	2	26.00
3758627	2	32.00
3758627	3	46.00
3762151	4	16.00
3763556	1	21.00
3763556	5	31.00
3763556	7	33.00
3768615	3	43.00
3773824	6	6.00
3775269	4	20.00
3785766	1	22.00
3787041	1	27.00
3790914	6	6.00
3791843	1	13.00
3791843	2	24.00
3793734	1	2.00
3794080	1	44.00
3794080	2	8.00
3794080	4	25.00
3794080	5	36.00
3794080	7	9.00
3794465	2	23.00
3799015	1	33.00
3799015	3	11.00
3799015	6	6.00
3799748	3	22.00
3801603	2	23.00
3801603	3	21.00
3801603	6	6.00
3803398	2	22.00
3803398	6	44.00
3807171	2	22.00
3818599	4	41.00
3818599	6	14.00
3824192	1	21.00
3828514	1	31.00
3828995	1	20.00
3828995	2	18.00
3828995	5	40.00
3828995	6	25.00
3828995	7	8.00
3829699	1	12.00
3832064	7	28.00
3833607	2	33.00
3833607	4	7.00
3833607	5	21.00
3850086	1	9.00
3851908	1	1.00
3853667	5	5.00
3853798	4	45.00
3856963	7	29.00
3860006	1	4.00
3866114	2	26.00
3866114	3	9.00
3867588	6	7.00
3874177	7	10.00
3879973	1	13.00
3883137	2	4.00
3883137	3	24.00
3883137	6	42.00
3883620	1	24.00
3883620	6	20.00
3888901	1	27.00
3888901	2	29.00
3891424	2	6.00
3891424	7	25.00
3891744	4	41.00
3891744	7	36.00
3897411	3	15.00
3899008	1	21.00
3899008	4	21.00
3899008	5	49.00
3900192	4	1.00
3910086	1	13.00
3910086	2	20.00
3910086	3	33.00
3911077	1	26.00
3911077	2	35.00
3911077	3	1.00
3911077	7	46.00
3913859	5	38.00
3916642	3	42.00
3916769	2	14.00
3920134	4	20.00
3921540	1	8.00
3922627	2	35.00
3922627	3	46.00
3923749	6	50.00
3924577	6	46.00
3928614	1	21.00
3934080	2	12.00
3935078	1	4.00
3935328	1	29.00
3935328	5	15.00
3940736	2	3.00
3945638	1	16.00
3945638	2	17.00
3947298	4	25.00
3947298	5	50.00
3949542	1	49.00
3951236	3	41.00
3953698	1	5.00
3953698	4	38.00
3960100	1	44.00
3970752	1	4.00
3970752	3	40.00
3974535	1	22.00
3980448	1	13.00
3981729	2	16.00
3983104	2	37.00
3983621	1	1.00
3992839	2	31.00
3997155	5	18.00
3997284	4	13.00
4004133	2	48.00
4004133	4	19.00
4008418	1	7.00
4008418	3	24.00
4008448	3	3.00
4008448	4	20.00
4008448	5	30.00
4008448	6	45.00
4009283	2	48.00
4009283	3	30.00
4009283	5	48.00
6501	4	30.00
16064	1	46.00
16064	2	43.00
26759	7	2.00
36582	4	45.00
80069	5	8.00
91940	4	6.00
106594	1	46.00
111525	4	44.00
124005	1	38.00
173540	4	7.00
186023	7	21.00
269729	1	35.00
282725	2	16.00
282725	4	28.00
317282	2	39.00
380967	2	6.00
385798	1	14.00
385798	3	46.00
403460	4	28.00
404480	1	46.00
408421	3	41.00
408421	5	14.00
428289	6	6.00
431525	2	7.00
437632	1	26.00
443010	1	24.00
445729	3	50.00
464774	3	21.00
464774	6	1.00
487873	1	41.00
547074	5	5.00
587076	3	28.00
605282	3	30.00
617605	1	27.00
617605	6	14.00
620385	5	22.00
642151	1	50.00
662851	3	23.00
715812	3	23.00
724679	3	38.00
730311	3	26.00
746023	3	46.00
746023	4	35.00
750854	1	40.00
750854	3	26.00
751904	3	30.00
788320	4	37.00
803488	3	40.00
814244	2	14.00
814244	4	48.00
814244	5	22.00
834530	1	32.00
874530	3	8.00
874530	4	35.00
877735	6	29.00
904677	1	43.00
904677	3	13.00
904677	4	9.00
912866	3	1.00
913024	2	39.00
913024	4	20.00
913024	7	38.00
959328	5	5.00
959328	6	28.00
1020323	3	18.00
1030561	1	5.00
1073799	1	6.00
1092935	2	39.00
1092935	3	25.00
1135137	1	32.00
1141924	2	2.00
1143874	2	15.00
1143874	5	10.00
1143874	6	7.00
1147975	4	34.00
1155268	2	12.00
1168482	2	34.00
1191874	1	3.00
1191874	6	5.00
1204962	1	45.00
1235493	4	2.00
1235493	5	5.00
1235493	6	3.00
1246880	1	37.00
1313155	2	32.00
1328644	6	11.00
1336576	2	44.00
1373925	2	44.00
1373925	5	34.00
1373925	7	36.00
1401891	1	44.00
1423876	3	41.00
1425061	1	42.00
1439812	1	10.00
1439812	4	1.00
1448067	1	46.00
1450628	3	27.00
1450628	4	23.00
1450628	6	47.00
1452640	5	12.00
1452640	6	19.00
1465221	3	16.00
1466276	4	13.00
1468224	1	8.00
1468224	6	37.00
1501828	6	6.00
1508546	1	43.00
1521638	4	47.00
1572096	2	7.00
1572096	7	20.00
1598980	1	29.00
1598980	2	27.00
1605318	5	33.00
1620935	3	46.00
1652836	4	35.00
1664833	4	8.00
1700230	1	1.00
1752322	2	20.00
1775840	1	29.00
1776193	1	46.00
1776193	6	3.00
1808034	2	18.00
1823424	5	26.00
1829445	1	27.00
1829797	1	28.00
1839364	2	27.00
1849346	1	39.00
1866150	3	40.00
1911233	5	6.00
2039009	5	41.00
2041504	1	16.00
2041504	3	9.00
2102785	5	5.00
2118405	2	40.00
2118405	4	42.00
2120133	5	30.00
2161760	2	38.00
2161760	7	25.00
2183650	1	40.00
2183650	2	13.00
2185223	4	11.00
2196962	4	17.00
2206433	5	17.00
2211267	2	20.00
2221921	2	23.00
2221921	3	30.00
2238407	1	29.00
2264291	3	18.00
2282885	1	2.00
2282885	4	27.00
2292291	2	45.00
2305892	1	34.00
2342113	2	21.00
2347520	4	10.00
2364677	3	49.00
2364677	4	38.00
2364677	6	16.00
2377381	3	37.00
2423457	3	12.00
2423457	4	2.00
2459268	3	35.00
2459268	5	13.00
2459268	6	1.00
2483233	2	42.00
2494338	3	7.00
2499043	2	47.00
2559425	2	7.00
2559425	4	34.00
2571751	4	42.00
2627781	2	44.00
2641798	6	4.00
2667011	3	26.00
2669507	3	26.00
2669507	5	27.00
2670592	3	3.00
2670592	4	27.00
2702913	4	44.00
2702913	5	4.00
2765538	2	31.00
2822340	5	10.00
2877121	3	33.00
2905218	6	11.00
2910080	1	34.00
2910080	4	30.00
2913765	4	17.00
2963430	2	19.00
2974402	4	35.00
3002913	3	47.00
3022212	7	8.00
3032005	6	5.00
3059203	3	27.00
3059203	4	9.00
3088161	1	22.00
3092290	7	5.00
3109798	4	17.00
3141062	2	33.00
3164580	2	32.00
3164580	3	39.00
3175846	6	28.00
3180705	2	10.00
3201731	4	50.00
3201731	7	14.00
3208198	1	43.00
3208614	1	42.00
3223424	3	10.00
3270854	1	20.00
3283847	6	17.00
3307715	2	40.00
3307715	3	27.00
3346496	6	39.00
3349569	2	1.00
3349569	6	47.00
3349569	7	25.00
3350022	1	26.00
3371619	3	34.00
3376864	4	20.00
3381892	6	9.00
3392099	2	42.00
3393858	1	47.00
3400388	5	15.00
3402115	1	27.00
3402115	4	34.00
3402115	7	7.00
3449477	4	39.00
