l_orderkey	l_quantity	l_extendedprice
5999330	1.00	1016.11
5999330	18.00	22144.32
5999330	17.00	21644.74
5999330	39.00	53991.60
5999330	40.00	71394.00
5999330	16.00	23945.12
5999330	47.00	59887.40
5999557	47.00	50955.99
5999557	43.00	59014.92
5999302	9.00	11621.52
5999043	19.00	34519.58
5999591	43.00	83417.85
5999591	44.00	81132.04
5999591	31.00	32272.55
5999748	21.00	22010.31
5999748	9.00	13990.95
l_orderkey	l_quantity	l_extendedprice
5612065	27.00	49460.76
5133509	28.00	36741.88
5133509	35.00	63199.50
5133509	33.00	53713.77
5805349	29.00	44501.66
5091364	5.00	6400.90
5091364	23.00	34236.42
5612065	22.00	23211.98
5090183	20.00	22121.00
5090183	18.00	36466.74
5133509	12.00	23399.76
5805349	50.00	73321.50
5805349	19.00	28720.21
5805349	16.00	23207.04
5805349	29.00	46763.66
5090183	14.00	22576.12
5805349	11.00	18101.38
5453440	14.00	17084.20
5805349	14.00	22099.84
5987111	24.00	29619.36
5987111	36.00	64254.24
5987111	4.00	5297.08
l_orderkey	l_quantity	l_extendedprice
5612065	27.00	49460.76
5805349	29.00	44501.66
5612065	22.00	23211.98
5091364	5.00	6400.90
5091364	23.00	34236.42
5133509	28.00	36741.88
5133509	35.00	63199.50
5133509	33.00	53713.77
5090183	20.00	22121.00
5090183	18.00	36466.74
5133509	12.00	23399.76
5805349	50.00	73321.50
5805349	19.00	28720.21
5805349	16.00	23207.04
5805349	29.00	46763.66
5090183	14.00	22576.12
5453440	14.00	17084.20
5805349	11.00	18101.38
5805349	14.00	22099.84
5987111	24.00	29619.36
5987111	36.00	64254.24
5987111	4.00	5297.08
