count(*)
200000
count(*)
2997697
l_orderkey	l_quantity	l_extendedprice
1119813	41.00	61639.81
1168417	35.00	61487.30
1168417	33.00	51429.51
1168417	18.00	35261.82
1248736	35.00	47299.70
1495106	23.00	32807.20
1495106	25.00	35584.75
306439	39.00	56726.28
5287012	30.00	34144.80
5379745	3.00	3333.39
5379745	4.00	6294.68
5612065	27.00	49460.76
5745185	28.00	33913.88
5745185	41.00	58688.63
5754464	23.00	44481.77
5811008	18.00	31261.68
4706437	5.00	6611.65
4706437	27.00	36701.10
4829253	38.00	35873.14
4833511	13.00	18296.33
4972039	29.00	44300.40
5199234	49.00	52237.43
1049990	12.00	14101.08
1049990	16.00	26138.72
1049990	39.00	52155.09
1049990	28.00	51964.64
1127620	11.00	14722.51
1603585	12.00	17153.64
1620672	22.00	43403.58
139072	38.00	55531.68
139072	25.00	43766.50
152289	9.00	16117.29
152289	28.00	34725.32
427971	42.00	79037.70
5392004	26.00	47338.98
5392004	49.00	68618.62
5392004	18.00	35296.92
5407235	19.00	21891.99
5407235	18.00	20054.52
5739076	23.00	23807.07
5739076	36.00	65044.08
5805349	29.00	44501.66
1775687	11.00	18145.05
1925447	35.00	43970.15
1925447	3.00	5390.22
1925447	26.00	38519.78
1932643	42.00	76224.12
1932643	20.00	31972.80
2007493	25.00	34056.50
5961251	40.00	70267.20
5961251	29.00	45574.95
5961251	12.00	20852.40
83684	37.00	66038.34
361671	5.00	8643.90
438881	46.00	72567.76
438881	40.00	63941.20
2438016	3.00	4867.71
2438016	37.00	66667.34
2673088	24.00	36925.92
2673088	50.00	58311.00
2872675	46.00	94667.54
2872675	18.00	29259.36
869574	8.00	8184.48
869574	17.00	29472.56
3040804	32.00	34947.84
3051493	24.00	43244.16
3051493	18.00	33028.20
3051493	43.00	62802.79
3051493	5.00	8638.45
3139556	15.00	16021.65
3368547	21.00	25685.52
3368547	1.00	2079.98
3368547	16.00	25609.28
3504453	21.00	36534.12
