l_orderkey	l_quantity	l_extendedprice
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	37.00	75256.15
4320612	37.00	75256.15
4320612	37.00	75256.15
4320612	37.00	75256.15
2986913	3.00	5318.34
2986913	3.00	5318.34
2986913	3.00	5318.34
2986913	3.00	5318.34
2992930	50.00	95646.00
2992930	50.00	95646.00
2992930	50.00	95646.00
2992930	50.00	95646.00
1763205	10.00	15416.20
1763205	10.00	15416.20
1763205	10.00	15416.20
1763205	10.00	15416.20
1226497	32.00	49937.60
1226497	32.00	49937.60
1226497	32.00	49937.60
1226497	32.00	49937.60
164711	34.00	51323.68
164711	34.00	51323.68
164711	34.00	51323.68
164711	34.00	51323.68
430243	23.00	30941.67
430243	23.00	30941.67
430243	23.00	30941.67
430243	23.00	30941.67
3868359	36.00	48649.68
3868359	36.00	48649.68
3868359	36.00	48649.68
3868359	36.00	48649.68
3868359	9.00	14891.76
3868359	9.00	14891.76
3868359	9.00	14891.76
3868359	9.00	14891.76
4320612	48.00	58574.40
4320612	48.00	58574.40
4320612	48.00	58574.40
4320612	48.00	58574.40
1071617	11.00	15635.18
1071617	11.00	15635.18
1071617	11.00	15635.18
1071617	11.00	15635.18
3868359	32.00	54680.32
3868359	32.00	54680.32
3868359	32.00	54680.32
3868359	32.00	54680.32
3868359	6.00	8732.16
3868359	6.00	8732.16
3868359	6.00	8732.16
3868359	6.00	8732.16
4320612	17.00	22307.57
4320612	17.00	22307.57
4320612	17.00	22307.57
4320612	17.00	22307.57
2630562	45.00	56166.30
2630562	45.00	56166.30
2630562	45.00	56166.30
2630562	45.00	56166.30
2630562	39.00	53913.99
2630562	39.00	53913.99
2630562	39.00	53913.99
2630562	39.00	53913.99
164711	15.00	16652.70
164711	15.00	16652.70
164711	15.00	16652.70
164711	15.00	16652.70
164711	34.00	59764.52
164711	34.00	59764.52
164711	34.00	59764.52
164711	34.00	59764.52
454791	13.00	25011.61
454791	13.00	25011.61
454791	13.00	25011.61
454791	13.00	25011.61
1374019	39.00	38884.95
1374019	39.00	38884.95
1374019	39.00	38884.95
1374019	39.00	38884.95
1374019	13.00	20586.41
1374019	13.00	20586.41
1374019	13.00	20586.41
1374019	13.00	20586.41
1374019	33.00	46016.19
1374019	33.00	46016.19
1374019	33.00	46016.19
1374019	33.00	46016.19
1226497	27.00	41729.58
1226497	27.00	41729.58
1226497	27.00	41729.58
1226497	27.00	41729.58
2630562	23.00	43696.32
2630562	23.00	43696.32
2630562	23.00	43696.32
2630562	23.00	43696.32
1944711	37.00	57334.46
1944711	37.00	57334.46
1944711	37.00	57334.46
1944711	37.00	57334.46
164711	33.00	62728.71
164711	33.00	62728.71
164711	33.00	62728.71
164711	33.00	62728.71
454791	40.00	51771.60
454791	40.00	51771.60
454791	40.00	51771.60
454791	40.00	51771.60
1374019	1.00	1630.55
1374019	1.00	1630.55
1374019	1.00	1630.55
1374019	1.00	1630.55
2630562	37.00	64888.38
2630562	37.00	64888.38
2630562	37.00	64888.38
2630562	37.00	64888.38
2630562	47.00	64079.80
2630562	47.00	64079.80
