l_orderkey	l_quantity	l_extendedprice
2164837	30.00	50357.40
2173125	43.00	51738.89
2177284	7.00	9648.94
2179808	32.00	50964.48
2202018	4.00	8083.84
2210757	18.00	21404.16
2240263	2.00	2110.12
2242595	24.00	32794.08
2242595	34.00	32403.36
2242595	26.00	39063.18
2244516	16.00	26122.88
2244516	6.00	9110.64
2244516	44.00	46554.64
2244545	50.00	63865.50
2267653	14.00	15288.42
2310976	37.00	38998.37
2319014	49.00	55675.27
2319014	2.00	3905.96
2333476	39.00	53752.92
2333476	18.00	24413.22
2341700	16.00	21924.96
2341700	50.00	67114.00
2361957	14.00	22729.84
2361957	26.00	52700.70
2361957	21.00	25164.09
2374151	18.00	27838.98
2382689	37.00	40073.22
2382689	11.00	19588.47
2401414	46.00	54243.66
2407428	5.00	6786.55
2471840	24.00	42714.48
2480834	9.00	10883.34
2480834	16.00	28780.32
2480834	31.00	37733.20
2490914	6.00	12173.58
2495456	5.00	6101.50
2520736	6.00	6829.08
2520736	31.00	32612.93
2520736	32.00	55770.56
2528897	30.00	31110.00
2528897	14.00	18358.62
2551972	46.00	71834.06
2559110	44.00	69279.76
2559110	46.00	54060.12
2559110	10.00	14433.80
2562212	21.00	28946.61
2562212	27.00	35110.53
2577220	28.00	32230.52
2580229	24.00	37142.88
2580229	8.00	8120.64
2580229	50.00	67462.50
2589508	46.00	45911.22
2613927	46.00	85229.72
2613927	35.00	63412.30
2636486	49.00	93736.02
2642662	6.00	9645.36
2649508	2.00	3865.72
2659781	30.00	59337.00
2661189	17.00	35240.83
2687687	13.00	21862.36
2708551	37.00	70296.30
2726118	32.00	63837.12
2726118	33.00	40596.93
2728162	39.00	73389.42
2747175	24.00	38364.24
2747175	36.00	65297.88
2769026	16.00	30925.60
2769026	1.00	1482.53
2769026	25.00	35034.75
2770404	19.00	25827.65
2788768	4.00	7591.32
2792609	21.00	23103.99
300900	24.00	33920.64
301860	49.00	55569.92
306439	39.00	56726.28
327553	10.00	17336.60
327553	27.00	51916.68
347522	8.00	10265.52
355589	35.00	53497.50
355589	50.00	85435.50
355589	34.00	65481.96
356514	48.00	81581.28
363271	3.00	5549.58
365666	4.00	7163.36
388769	25.00	32531.00
388769	35.00	48906.20
455175	30.00	45014.70
455175	7.00	10769.92
459014	50.00	63763.00
471653	36.00	40970.52
471653	27.00	44052.12
488418	23.00	45721.47
488418	24.00	41801.04
509380	32.00	37348.48
521281	18.00	32972.94
521281	2.00	2868.96
536807	7.00	10721.34
545029	4.00	4204.12
637927	22.00	29552.60
639937	19.00	35813.48
639937	37.00	57108.39
711329	29.00	46766.85
716902	40.00	69708.00
741985	6.00	6366.36
741985	46.00	77630.98
760228	25.00	27252.25
765156	19.00	36249.34
765156	26.00	28682.42
776355	36.00	37800.36
807172	30.00	35948.40
807172	27.00	32946.48
853442	21.00	27578.88
872321	37.00	70218.97
872321	19.00	39177.43
872321	25.00	35936.75
892868	22.00	29378.58
914821	29.00	50513.07
914821	30.00	58105.50
929185	10.00	17868.80
929185	2.00	3439.54
929185	46.00	75563.28
930052	10.00	15906.20
947525	31.00	62432.76
2797952	27.00	43973.55
2800132	35.00	65762.55
2800132	37.00	36706.22
2805634	22.00	27837.26
2805634	4.00	5761.36
2805920	42.00	87107.58
2818306	41.00	66858.29
2834503	24.00	36975.12
2834503	18.00	21259.98
2840384	19.00	34746.44
2840384	41.00	71123.93
2844385	24.00	34929.60
2854150	25.00	25677.25
2855811	5.00	8593.85
2855811	15.00	19534.65
2865890	47.00	79465.25
2865890	6.00	9639.60
2872993	41.00	72152.62
2880710	48.00	59768.16
2945442	48.00	48098.40
2946275	20.00	19940.20
2964160	20.00	28509.20
2964160	22.00	37612.08
2973091	25.00	43620.50
2973091	4.00	4780.72
2973091	45.00	54505.80
2973892	47.00	66198.09
2974244	23.00	32026.58
2974244	19.00	35716.39
2974244	7.00	7392.98
2975138	38.00	38115.14
2975138	45.00	65182.95
2975138	19.00	29937.16
2975877	33.00	58337.73
2975877	21.00	34306.23
2983716	44.00	51356.36
2983716	47.00	64788.09
2990241	41.00	73748.75
2990241	49.00	72054.99
3004743	5.00	5245.00
3005509	36.00	61480.80
3043008	11.00	17429.61
3046018	1.00	1440.38
3050437	35.00	66006.85
3050437	2.00	3437.58
3050437	7.00	13614.44
3064548	23.00	23508.30
3064548	44.00	89011.56
3084259	5.00	8728.55
3118211	4.00	7819.72
3118211	33.00	32637.00
3120674	31.00	50051.98
3147079	3.00	6032.82
3200934	35.00	48455.75
3221889	1.00	1090.15
3225025	47.00	54672.75
3243495	12.00	19927.92
3243495	41.00	62138.78
3293892	9.00	11116.35
3293892	15.00	15615.75
3293892	25.00	26551.25
3332194	30.00	53240.40
3337184	25.00	24200.50
3337184	1.00	1913.95
3354372	9.00	13532.31
3354372	27.00	49675.95
3376613	8.00	11555.20
3378979	33.00	42479.58
3387047	16.00	28269.44
3398052	25.00	27751.50
3398052	10.00	12702.50
3398052	2.00	3337.40
3402851	43.00	50014.16
963588	11.00	13939.09
964452	3.00	4423.68
1016966	9.00	13837.50
1049990	12.00	14101.08
1049990	16.00	26138.72
1049990	39.00	52155.09
1049990	28.00	51964.64
1054630	44.00	69984.64
1058982	36.00	39565.44
1058982	26.00	31857.28
1058982	42.00	75382.02
1058982	50.00	90441.00
1099204	32.00	36422.40
1110405	3.00	6128.85
1110405	29.00	42643.05
1119521	48.00	71924.16
1127620	11.00	14722.51
1169476	34.00	63335.54
1177089	5.00	7567.70
1178402	5.00	7988.30
1191330	47.00	60315.10
1191330	41.00	76667.13
1234720	12.00	19530.24
1260197	17.00	27754.71
1260197	2.00	3919.72
1260197	36.00	50593.68
1287648	41.00	47979.02
1296224	1.00	1189.15
1305700	6.00	9188.88
1315654	3.00	5105.34
1318343	38.00	67557.54
1322400	19.00	36115.20
1333543	32.00	44783.68
1333543	35.00	58439.15
1334503	42.00	66219.30
1338272	28.00	49748.44
1338272	31.00	47911.43
1354886	10.00	14603.70
1354886	15.00	23617.50
1370853	48.00	83024.64
1390432	46.00	60408.58
1390432	6.00	9849.72
1405222	22.00	22662.42
1405222	18.00	32845.14
1410213	4.00	4588.72
1419648	15.00	24609.90
1442213	9.00	16739.37
1444423	18.00	24179.94
1444423	29.00	56722.26
1444423	31.00	33886.72
1444423	1.00	1846.75
1457024	47.00	74237.44
1475367	39.00	43254.90
1489858	19.00	26322.41
1489858	13.00	16994.90
1510304	13.00	24113.44
1533217	17.00	29710.05
1551622	16.00	19797.28
1552229	33.00	47502.51
1552229	39.00	63050.52
1552229	16.00	20949.28
1562598	22.00	24223.32
1562598	37.00	44853.99
1571075	39.00	63791.91
1583813	7.00	12290.60
1592771	35.00	65412.90
1596837	26.00	31233.80
1596837	1.00	1912.81
1603585	12.00	17153.64
1611460	4.00	5989.76
1611460	17.00	33251.32
1611460	29.00	54020.33
1620672	22.00	43403.58
3881571	22.00	33759.22
3881571	18.00	22163.04
3883909	24.00	30364.32
3892961	29.00	55387.39
3984770	37.00	54737.80
3984770	29.00	46881.69
4004325	12.00	15123.12
4021796	47.00	60268.57
4021796	40.00	60099.20
4033607	34.00	66570.30
4048931	40.00	61577.60
4054278	34.00	42273.56
4054278	39.00	66558.57
4054278	30.00	52250.70
4066692	49.00	86815.26
4066692	26.00	41821.52
4076224	45.00	69367.95
4093025	35.00	46596.20
4093025	44.00	88788.92
4107269	5.00	9564.95
4107269	14.00	22591.24
4108961	20.00	27167.20
4111174	37.00	53181.58
4148227	50.00	60261.00
4148227	45.00	61572.60
4148227	47.00	68734.68
4153735	12.00	20395.32
4157798	43.00	77817.53
4175458	16.00	16192.00
4175458	35.00	64642.90
4175458	50.00	68117.00
4182913	34.00	56187.04
4182913	34.00	64321.88
4195010	21.00	28755.72
4204389	12.00	14607.12
4206917	43.00	64134.07
4225824	10.00	17197.60
4225824	1.00	1585.68
4239232	7.00	10040.73
4239232	40.00	48372.00
4241573	32.00	44943.04
4244228	19.00	26568.84
4244228	18.00	29965.68
4244228	41.00	43177.92
4250112	14.00	28489.72
4298880	21.00	32456.34
4319335	23.00	36628.65
4319335	20.00	32890.80
4330023	11.00	21867.89
4331526	46.00	74638.68
4331526	48.00	59583.36
4340228	29.00	42268.08
4340228	7.00	11954.32
4340228	32.00	42796.48
4341568	45.00	77654.70
4341568	47.00	85671.60
4341568	5.00	8978.70
4370304	33.00	49550.16
4370304	12.00	21080.28
4387367	43.00	54924.76
4387367	18.00	29061.54
4390561	19.00	30298.92
4409507	30.00	42372.30
4409507	47.00	67744.39
4438883	15.00	14235.60
4445255	28.00	35429.52
4445255	17.00	24539.67
4474501	23.00	23254.61
4480295	41.00	49334.89
4480295	12.00	17452.68
4485092	44.00	78358.28
4485668	10.00	13184.00
4485765	43.00	80664.56
4488097	13.00	17020.77
4488097	19.00	30963.35
4488097	12.00	13994.40
4682177	10.00	16466.40
4682177	18.00	31008.42
4706437	5.00	6611.65
4706437	27.00	36701.10
4767622	17.00	28162.54
4767622	24.00	41078.64
4793573	41.00	63814.86
4793573	17.00	22394.27
4796417	4.00	4700.80
4829253	38.00	35873.14
4833511	13.00	18296.33
4837606	47.00	51845.23
4845632	29.00	26477.00
4845632	21.00	24762.36
4880870	13.00	13663.13
4880870	18.00	25729.56
4918343	20.00	30969.60
4918592	15.00	30734.40
4924128	4.00	5321.16
4924128	48.00	86584.80
4936257	18.00	23926.50
4940739	48.00	74422.56
4942789	22.00	39355.14
4952870	42.00	55912.50
4952870	50.00	79277.50
4957955	6.00	11249.34
4957955	36.00	59131.80
4957955	38.00	37242.28
4970912	22.00	22949.08
4972039	29.00	44300.40
4973511	8.00	14221.68
5001442	42.00	47124.84
5002113	24.00	44614.32
5002113	27.00	53783.73
5055623	47.00	89104.48
5080771	18.00	18722.34
5090695	32.00	49743.04
5097924	21.00	37269.96
5097924	10.00	10280.30
5097924	12.00	17656.92
5128448	19.00	23848.42
5128448	3.00	3618.69
5133767	25.00	33582.50
5133767	43.00	71754.96
5191589	44.00	71530.36
5199234	49.00	52237.43
5218983	35.00	63655.55
5263715	19.00	28091.88
5266946	41.00	68824.65
5271459	16.00	27980.00
5271459	16.00	19781.28
3439424	4.00	5942.32
