p_name	l_partkey	c_name	o_orderkey	n_name
cream lawn green spring slate	63324	Customer#000039478	5852742	VIETNAM
steel gainsboro blush midnight blanched	32756	Customer#000039478	5852742	VIETNAM
peru aquamarine hot deep grey	42630	Customer#000076559	3990465	CHINA
yellow burlywood rosy turquoise seashell	78838	Customer#000076559	3990465	CHINA
blue dark orchid honeydew firebrick	99613	Customer#000076559	3990465	CHINA
almond sienna steel grey medium	179776	Customer#000076559	3990465	CHINA
slate drab sky chocolate thistle	165934	Customer#000063994	809158	INDONESIA
magenta seashell almond chocolate purple	30840	Customer#000063994	809158	INDONESIA
papaya deep gainsboro chiffon chocolate	59069	Customer#000145102	4995363	VIETNAM
green navy lime almond olive	151943	Customer#000145102	4995363	VIETNAM
burnished snow slate indian cream	170277	Customer#000031247	1382432	INDONESIA
cream lace tomato navajo plum	94934	Customer#000031247	1382432	INDONESIA
orchid lace saddle cream powder	190825	Customer#000008936	631651	VIETNAM
grey lawn magenta ghost orange	178985	Customer#000008936	631651	VIETNAM
powder papaya chiffon blue honeydew	169644	Customer#000146608	3342468	CHINA
sienna peru coral dodger khaki	109867	Customer#000146608	3342468	CHINA
gainsboro almond spring blanched white	120505	Customer#000146608	3342468	CHINA
rose metallic moccasin sandy chiffon	55632	Customer#000082741	1226658	INDONESIA
gainsboro peru dodger peach pale	131688	Customer#000147289	101700	JAPAN
spring honeydew midnight burnished puff	172938	Customer#000001489	5864288	INDONESIA
chartreuse dim grey beige lace	192855	Customer#000001489	5864288	INDONESIA
mint burnished maroon misty hot	76521	Customer#000139240	5943781	JAPAN
burlywood black moccasin orange cornflower	28804	Customer#000083683	2493703	INDONESIA
royal powder slate moccasin pale	186585	Customer#000107590	4267751	JAPAN
indian burnished khaki lime midnight	183164	Customer#000107590	4267751	JAPAN
antique pink rose firebrick peru	38891	Customer#000125776	790534	VIETNAM
forest hot chiffon brown purple	85626	Customer#000050386	1642179	INDONESIA
purple chartreuse wheat magenta honeydew	82918	Customer#000039478	5852742	VIETNAM
grey chiffon peach turquoise indian	184190	Customer#000139823	4328516	INDIA
dark olive navajo midnight indian	32964	Customer#000090091	4803395	VIETNAM
misty thistle honeydew coral smoke	70240	Customer#000090091	4803395	VIETNAM
dim blush cream burlywood grey	93763	Customer#000090091	4803395	VIETNAM
bisque purple cream tomato pink	182790	Customer#000131386	3459808	INDIA
azure green blue orchid linen	194083	Customer#000131386	3459808	INDIA
chartreuse yellow bisque rosy papaya	151799	Customer#000131386	3459808	INDIA
drab ivory steel navy chocolate	50482	Customer#000031247	1382432	INDONESIA
burlywood lemon aquamarine azure forest	108833	Customer#000049033	5893511	JAPAN
burnished magenta sky navy saddle	51231	Customer#000082415	5725605	JAPAN
coral black steel firebrick mint	101586	Customer#000063994	809158	INDONESIA
sky spring azure olive floral	122747	Customer#000063994	809158	INDONESIA
almond olive lavender lawn firebrick	113270	Customer#000148481	2948355	INDONESIA
olive azure drab metallic turquoise	83798	Customer#000148481	2948355	INDONESIA
blush beige almond dim cornsilk	154917	Customer#000008482	4046689	INDIA
wheat midnight ivory almond light	114858	Customer#000139823	4328516	INDIA
navy beige deep chartreuse papaya	72545	Customer#000139823	4328516	INDIA
snow almond burnished olive green	56759	Customer#000139823	4328516	INDIA
cream gainsboro peach chiffon azure	24965	Customer#000097444	4036035	INDONESIA
lemon thistle saddle dodger firebrick	172896	Customer#000097444	4036035	INDONESIA
blush cyan moccasin smoke linen	22598	Customer#000097444	4036035	INDONESIA
dodger green tan deep bisque	89783	Customer#000033083	2121671	CHINA
antique dodger medium puff navy	178587	Customer#000033083	2121671	CHINA
coral blanched firebrick cyan thistle	145973	Customer#000063994	809158	INDONESIA
indian floral medium orange cyan	154486	Customer#000063994	809158	INDONESIA
gainsboro deep peach smoke beige	177566	Customer#000115841	2756705	CHINA
dodger burnished medium orchid khaki	150751	Customer#000115841	2756705	CHINA
wheat bisque rose light mint	4398	Customer#000146608	3342468	CHINA
chartreuse burnished salmon bisque yellow	41816	Customer#000146608	3342468	CHINA
dark bisque powder blanched almond	187862	Customer#000146608	3342468	CHINA
azure pale black ivory salmon	39718	Customer#000059359	3583616	JAPAN
sandy frosted azure khaki spring	92548	Customer#000076559	3990465	CHINA
metallic honeydew blue gainsboro blanched	119345	Customer#000001489	5864288	INDONESIA
goldenrod light rose pale green	18217	Customer#000001489	5864288	INDONESIA
chiffon papaya orange rose plum	159843	Customer#000001489	5864288	INDONESIA
ghost peru lace drab blue	135827	Customer#000131386	3459808	INDIA
almond blue lime brown tomato	31802	Customer#000033083	2121671	CHINA
puff slate lime lemon olive	108998	Customer#000033083	2121671	CHINA
floral metallic navy steel purple	119688	Customer#000033083	2121671	CHINA
grey cyan bisque lime lace	194702	Customer#000033083	2121671	CHINA
chiffon pink sky maroon navy	167999	Customer#000145102	4995363	VIETNAM
brown salmon cyan cornflower gainsboro	98520	Customer#000145102	4995363	VIETNAM
lace cyan midnight dodger lawn	11823	Customer#000145102	4995363	VIETNAM
tomato chocolate lavender peru floral	101195	Customer#000145102	4995363	VIETNAM
lace navajo forest drab brown	54539	Customer#000083683	2493703	INDONESIA
maroon honeydew magenta snow burnished	102946	Customer#000083683	2493703	INDONESIA
moccasin lime almond seashell maroon	129801	Customer#000030415	5955427	JAPAN
deep green maroon papaya spring	120976	Customer#000030415	5955427	JAPAN
lime metallic dim coral mint	117381	Customer#000049033	5893511	JAPAN
almond medium beige salmon coral	196564	Customer#000008936	631651	VIETNAM
firebrick honeydew orchid orange brown	188843	Customer#000082741	1226658	INDONESIA
