l_orderkey	l_partkey	l_quantity	n_name	r_name
76032	130410	4.00	SAUDI ARABIA	MIDDLE EAST
77986	112912	2.00	JORDAN	MIDDLE EAST
77986	98162	2.00	JORDAN	MIDDLE EAST
84258	64405	2.00	RUSSIA	EUROPE
264800	162974	2.00	SAUDI ARABIA	MIDDLE EAST
455943	145121	4.00	JORDAN	MIDDLE EAST
472646	145790	4.00	IRAQ	MIDDLE EAST
585767	113374	2.00	CHINA	ASIA
592034	155156	4.00	VIETNAM	ASIA
673797	5510	2.00	JORDAN	MIDDLE EAST
712967	94132	3.00	CHINA	ASIA
712967	172767	4.00	CHINA	ASIA
796067	67145	3.00	SAUDI ARABIA	MIDDLE EAST
873633	92103	4.00	RUSSIA	EUROPE
914144	61157	2.00	IRAQ	MIDDLE EAST
944999	145693	3.00	CHINA	ASIA
982503	80830	4.00	IRAQ	MIDDLE EAST
1007238	155574	4.00	IRAQ	MIDDLE EAST
1074721	12761	4.00	UNITED KINGDOM	EUROPE
1093922	66271	4.00	JORDAN	MIDDLE EAST
1138848	107786	2.00	RUSSIA	EUROPE
1142498	9678	3.00	SAUDI ARABIA	MIDDLE EAST
1236355	8479	4.00	JAPAN	ASIA
1345191	6737	3.00	JAPAN	ASIA
1454213	41161	4.00	RUSSIA	EUROPE
1565735	74653	4.00	JAPAN	ASIA
1655842	72131	3.00	RUSSIA	EUROPE
1655842	101576	4.00	RUSSIA	EUROPE
1838531	124981	2.00	CHINA	ASIA
1932549	7107	4.00	UNITED KINGDOM	EUROPE
1964706	113410	3.00	IRAQ	MIDDLE EAST
1966177	176425	3.00	CHINA	ASIA
2064070	112282	2.00	UNITED KINGDOM	EUROPE
2064070	147684	3.00	UNITED KINGDOM	EUROPE
2240994	178846	3.00	RUSSIA	EUROPE
2357827	7682	4.00	SAUDI ARABIA	MIDDLE EAST
2528865	169774	2.00	ROMANIA	EUROPE
2544192	55064	2.00	VIETNAM	ASIA
2587014	103243	2.00	UNITED KINGDOM	EUROPE
2613124	32382	2.00	ROMANIA	EUROPE
2613124	42021	2.00	ROMANIA	EUROPE
2614562	185224	4.00	JORDAN	MIDDLE EAST
2622275	199975	2.00	ROMANIA	EUROPE
2730086	123480	2.00	JAPAN	ASIA
2873985	189069	3.00	JORDAN	MIDDLE EAST
2906211	54035	4.00	UNITED KINGDOM	EUROPE
2931938	19433	2.00	SAUDI ARABIA	MIDDLE EAST
3017991	94315	2.00	JORDAN	MIDDLE EAST
3017991	147058	2.00	JORDAN	MIDDLE EAST
3045024	104355	3.00	IRAQ	MIDDLE EAST
3095333	86389	4.00	RUSSIA	EUROPE
3270149	191096	3.00	UNITED KINGDOM	EUROPE
3301090	31061	3.00	JAPAN	ASIA
3301090	139563	2.00	JAPAN	ASIA
3437316	94010	3.00	SAUDI ARABIA	MIDDLE EAST
3444773	158901	3.00	CHINA	ASIA
3444773	73974	4.00	CHINA	ASIA
3480964	51522	3.00	ROMANIA	EUROPE
3489539	89947	4.00	UNITED KINGDOM	EUROPE
3526755	171390	3.00	ROMANIA	EUROPE
3619364	55133	2.00	CHINA	ASIA
3768000	110863	2.00	CHINA	ASIA
3797283	25228	2.00	ROMANIA	EUROPE
3836612	97675	2.00	IRAQ	MIDDLE EAST
3875586	66884	3.00	JORDAN	MIDDLE EAST
3876963	46047	2.00	ROMANIA	EUROPE
3890081	77553	2.00	VIETNAM	ASIA
3956102	30349	2.00	JAPAN	ASIA
3984932	145360	3.00	UNITED KINGDOM	EUROPE
4121796	176391	3.00	SAUDI ARABIA	MIDDLE EAST
4166692	172730	3.00	RUSSIA	EUROPE
4299552	43535	2.00	JORDAN	MIDDLE EAST
4324708	143670	2.00	RUSSIA	EUROPE
4409029	164031	2.00	VIETNAM	ASIA
4521990	178021	2.00	RUSSIA	EUROPE
4529639	97820	4.00	ROMANIA	EUROPE
4906689	12792	4.00	UNITED KINGDOM	EUROPE
4906689	105202	3.00	UNITED KINGDOM	EUROPE
5079651	137753	4.00	UNITED KINGDOM	EUROPE
5187171	87445	3.00	JORDAN	MIDDLE EAST
5354624	183713	3.00	JORDAN	MIDDLE EAST
5382694	117843	2.00	JAPAN	ASIA
5382694	180422	4.00	JAPAN	ASIA
5483460	73742	2.00	ROMANIA	EUROPE
5676068	10835	2.00	JORDAN	MIDDLE EAST
5979392	110468	3.00	JORDAN	MIDDLE EAST
o_orderkey	l_quantity	p_name
5992967	16.00	navajo honeydew cream lawn firebrick
5999872	5.00	sandy papaya metallic pale navajo
