c_name	country	r_name	l_orderkey	l_quantity	total
Customer#000079138	INDONESIA	ASIA	993	10.00	18639.20
Customer#000065861	IRAN	MIDDLE EAST	6086	10.00	17898.80
Customer#000004105	MOZAMBIQUE	AFRICA	8615	10.00	18588.90
Customer#000064906	CANADA	AMERICA	3782	10.00	19498.90
Customer#000080533	MOZAMBIQUE	AFRICA	8385	10.00	17788.30
c_name	country	r_name	l_orderkey	l_quantity	total
Customer#000064906	CANADA	AMERICA	3782	10.00	19498.90
Customer#000135226	ROMANIA	EUROPE	3073	10.00	10360.50
Customer#000027184	INDONESIA	ASIA	3777	10.00	13434.30
Customer#000079138	INDONESIA	ASIA	993	10.00	18639.20
Customer#000104480	EGYPT	MIDDLE EAST	98	10.00	12471.80
Customer#000001646	UNITED STATES	AMERICA	896	10.00	17186.20
Customer#000102628	ETHIOPIA	AFRICA	1571	10.00	14505.00
Customer#000141829	CANADA	AMERICA	515	10.00	10180.10
