l_orderkey	l_partkey	l_suppkey	l_linenumber	l_quantity	l_extendedprice	l_discount	l_tax	l_returnflag	l_linestatus	l_shipdate	l_commitdate	l_receiptdate	l_shipinstruct	l_shipmode	l_comment
1248	16306006	306007	1	45.00	45503.55	0.00	0.08	A	F	1992-04-17	1992-03-31	1992-05-13	NONE	RAIL	ter the pending pl
1248	15027402	277418	2	37.00	49160.05	0.06	0.06	R	F	1992-01-26	1992-02-05	1992-02-13	COLLECT COD	TRUCK	. final requests integrate quickly. blit
1248	5536712	286728	3	26.00	45459.44	0.09	0.06	A	F	1992-01-16	1992-03-01	1992-02-06	TAKE BACK RETURN	AIR	 ironic dependen
1248	15516877	516878	4	49.00	92761.90	0.02	0.01	A	F	1992-04-24	1992-02-18	1992-05-03	TAKE BACK RETURN	AIR	beans run quickly according to the carefu
1248	12146496	396509	5	20.00	30837.80	0.08	0.00	A	F	1992-03-12	1992-03-23	1992-04-07	TAKE BACK RETURN	AIR	nal foxes cajole carefully slyl
1248	6145685	645698	6	30.00	51911.40	0.10	0.01	R	F	1992-02-01	1992-03-24	1992-02-08	TAKE BACK RETURN	MAIL	fily special foxes kindle am
120957670	2569102	569103	1	39.00	45668.22	0.09	0.02	R	F	1993-04-14	1993-05-07	1993-04-28	COLLECT COD	MAIL	ular deposits. silent pinto beans cajole. s
120957670	18884851	134870	2	17.00	31193.47	0.09	0.08	A	F	1993-03-13	1993-04-22	1993-04-02	NONE	RAIL	 fluffily specia
120957670	17685760	685761	3	49.00	85499.12	0.00	0.07	A	F	1993-04-24	1993-05-20	1993-05-11	NONE	MAIL	its cajole aft
120957670	4561866	811871	4	3.00	5782.92	0.01	0.00	R	F	1993-06-16	1993-04-23	1993-07-04	COLLECT COD	RAIL	uickly furiously final the
120957670	11266250	516262	5	33.00	40117.77	0.09	0.04	A	F	1993-05-22	1993-05-29	1993-06-06	TAKE BACK RETURN	TRUCK	y express pinto beans are fluffily a
120957670	11862357	862358	6	13.00	17143.88	0.04	0.05	A	F	1993-05-29	1993-05-31	1993-06-05	DELIVER IN PERSON	RAIL	ironic pinto beans cajol
120957670	10630716	130737	7	27.00	44446.86	0.07	0.06	R	F	1993-06-22	1993-05-15	1993-07-16	NONE	TRUCK	g to the blithel
235282085	4355713	355714	1	29.00	51286.50	0.03	0.08	R	F	1994-03-16	1994-04-27	1994-04-09	DELIVER IN PERSON	AIR	uriously. fo
235282085	6455411	455412	2	31.00	42348.79	0.08	0.03	A	F	1994-05-29	1994-05-04	1994-06-13	NONE	TRUCK	excuses. carefully r
235282085	16088787	88788	3	9.00	15974.82	0.02	0.02	A	F	1994-04-10	1994-04-21	1994-04-13	COLLECT COD	FOB	usly bold pinto beans. blithel
235282085	4226498	726507	4	11.00	15667.08	0.04	0.02	R	F	1994-05-14	1994-04-13	1994-05-31	COLLECT COD	AIR	y bold instructions. ironically ironic 
235282085	14735302	735303	5	48.00	64155.36	0.00	0.02	R	F	1994-05-20	1994-05-05	1994-05-27	NONE	TRUCK	quickly express instructions sleep furious
235282085	16209142	709175	6	13.00	13654.29	0.04	0.07	A	F	1994-05-07	1994-04-17	1994-05-19	TAKE BACK RETURN	REG AIR	eposits cajole furiousl
315118979	14892743	892744	1	50.00	86750.00	0.01	0.07	R	F	1992-01-19	1992-03-19	1992-02-08	NONE	FOB	 pending ac
315118979	2323998	74005	2	8.00	16175.04	0.00	0.08	A	F	1992-03-12	1992-04-14	1992-04-08	TAKE BACK RETURN	SHIP	oldly regular acc
315119076	11439706	689718	1	22.00	36192.86	0.08	0.05	R	F	1992-03-29	1992-04-03	1992-04-18	COLLECT COD	SHIP	uriously regular instructions. ac
315119076	7138105	638120	2	35.00	39996.25	0.05	0.04	A	F	1992-05-09	1992-04-11	1992-05-24	COLLECT COD	RAIL	sleep. regular dependencies thrash 
315119076	10118072	118073	3	45.00	49030.65	0.05	0.02	A	F	1992-03-17	1992-03-11	1992-03-26	DELIVER IN PERSON	RAIL	es! final requests print furio
315119076	14425937	925966	4	33.00	61452.93	0.07	0.01	A	F	1992-01-25	1992-03-04	1992-01-31	NONE	MAIL	es. carefully special 
315119136	12068011	568036	1	14.00	13697.74	0.07	0.02	A	F	1992-04-18	1992-03-29	1992-04-30	TAKE BACK RETURN	TRUCK	kages engage.
315119136	7052470	552485	2	46.00	65417.52	0.08	0.05	R	F	1992-04-11	1992-03-29	1992-04-15	COLLECT COD	FOB	 pinto beans. regular packages 
315119136	10846574	596605	3	38.00	57761.14	0.08	0.04	A	F	1992-01-10	1992-03-07	1992-01-26	TAKE BACK RETURN	TRUCK	tes grow. unusual deposits after the
315119136	18355828	605847	4	41.00	77199.31	0.09	0.07	R	F	1992-04-30	1992-04-01	1992-05-30	DELIVER IN PERSON	RAIL	luffily pending, ironic depos
315119136	6389010	389011	5	30.00	32961.00	0.02	0.02	R	F	1992-02-06	1992-03-26	1992-03-05	NONE	FOB	. carefully ironic accounts wake. regular,
315119136	77801	827802	6	26.00	46248.80	0.03	0.04	R	F	1992-03-04	1992-02-23	1992-03-27	TAKE BACK RETURN	MAIL	sleep blithely ironic dolphins. furio
315119777	12781303	281328	1	5.00	6918.35	0.06	0.07	A	F	1992-03-27	1992-03-24	1992-04-22	TAKE BACK RETURN	MAIL	ously atop th
315119777	15344966	844997	2	9.00	18091.80	0.06	0.03	A	F	1992-01-24	1992-03-07	1992-02-08	TAKE BACK RETURN	MAIL	g blithely unusu
315119777	2828624	578631	3	25.00	38812.00	0.00	0.06	R	F	1992-04-04	1992-03-25	1992-05-02	DELIVER IN PERSON	RAIL	y about the quickly regular instructions. 
315119878	195282	195283	1	26.00	35809.28	0.07	0.03	R	F	1992-04-04	1992-04-02	1992-04-20	COLLECT COD	RAIL	ly ironic requests. reg
315119878	2095484	595489	2	13.00	19231.94	0.01	0.08	A	F	1992-04-25	1992-03-26	1992-05-09	COLLECT COD	TRUCK	es according to th
315119878	18787046	787047	3	27.00	30566.97	0.01	0.06	R	F	1992-03-03	1992-03-13	1992-03-14	TAKE BACK RETURN	SHIP	tions. even foxes x-ray 
315119878	13879615	879616	4	48.00	76508.16	0.06	0.08	A	F	1992-04-17	1992-03-26	1992-04-27	NONE	FOB	y fluffy, 
315119878	14674912	924927	5	27.00	50926.86	0.06	0.01	R	F	1992-01-20	1992-03-28	1992-01-23	TAKE BACK RETURN	TRUCK	quickly regular accounts wake. slyl
315119878	1230636	730639	6	11.00	17232.27	0.07	0.00	A	F	1992-04-04	1992-03-18	1992-04-13	TAKE BACK RETURN	TRUCK	 carefully
315119878	3285905	535909	7	47.00	88864.78	0.04	0.01	R	F	1992-03-22	1992-03-14	1992-04-02	NONE	SHIP	yly regular requests. furiously
341482786	17903262	153280	1	11.00	13908.07	0.04	0.03	N	O	1995-06-23	1995-04-20	1995-07-23	NONE	AIR	es kindle slyly express, ironi
341482786	117602	867603	2	19.00	30772.40	0.09	0.06	A	F	1995-04-09	1995-05-12	1995-05-09	NONE	SHIP	arefully express ideas hag
341482786	16535470	535471	3	21.00	31597.65	0.10	0.04	N	O	1995-07-10	1995-06-07	1995-08-08	COLLECT COD	TRUCK	y regular package
341482786	11627538	627539	4	31.00	45413.45	0.00	0.01	R	F	1995-05-13	1995-05-23	1995-06-08	COLLECT COD	AIR	egular ideas are among the furi
341482786	4030776	530785	5	21.00	35837.97	0.02	0.00	A	F	1995-06-10	1995-06-12	1995-06-13	TAKE BACK RETURN	AIR	s among the slyly s
341482786	5247030	497036	6	33.00	32233.41	0.01	0.01	A	F	1995-04-07	1995-05-01	1995-04-25	DELIVER IN PERSON	REG AIR	c theodolites. carefully pending court
426406758	16458952	458953	1	8.00	15281.04	0.10	0.00	N	O	1996-07-25	1996-05-31	1996-08-17	TAKE BACK RETURN	AIR	press deposit
426406758	5599011	599012	2	18.00	19975.32	0.05	0.08	N	O	1996-06-14	1996-06-08	1996-06-30	COLLECT COD	AIR	asymptotes wake slyly against the carefu
426406758	2575358	75363	3	27.00	38697.21	0.10	0.03	N	O	1996-05-15	1996-06-08	1996-06-06	NONE	REG AIR	hins cajole sl
426406758	4040262	540271	4	48.00	57698.88	0.10	0.02	N	O	1996-07-25	1996-06-20	1996-08-02	COLLECT COD	FOB	sits wake furiously express theodolites. fu
426406758	4668763	918768	5	3.00	5194.59	0.08	0.01	N	O	1996-04-17	1996-06-30	1996-04-26	DELIVER IN PERSON	TRUCK	uctions are caref
426406758	7895091	645113	6	4.00	4342.80	0.03	0.08	N	O	1996-07-12	1996-05-22	1996-07-16	NONE	AIR	refully special deposit
426406758	12784779	784780	7	31.00	57757.34	0.04	0.08	N	O	1996-07-23	1996-07-06	1996-08-13	NONE	FOB	jole. even deposits along the regular 
521332416	7422370	922385	1	12.00	15504.00	0.06	0.02	N	O	1997-11-06	1997-09-11	1997-11-12	DELIVER IN PERSON	REG AIR	 unusual asymptotes alongs
521332416	7770110	520132	2	42.00	49548.66	0.04	0.00	N	O	1997-08-18	1997-08-22	1997-09-02	COLLECT COD	TRUCK	 the sauternes sleep 
521332416	12224837	974874	3	42.00	73971.24	0.02	0.04	N	O	1997-10-19	1997-08-09	1997-10-30	DELIVER IN PERSON	AIR	lar, final platelets. pinto beans boost
578786432	10557970	557971	1	44.00	89207.80	0.07	0.00	N	O	1998-11-04	1998-10-19	1998-11-29	NONE	AIR	excuses cajole 
578786432	7795369	795370	2	18.00	26351.64	0.07	0.06	N	O	1998-09-26	1998-09-19	1998-10-09	TAKE BACK RETURN	FOB	 requests. carefully final packages acco
578786432	16755593	5610	3	40.00	65910.40	0.08	0.00	N	O	1998-08-02	1998-08-25	1998-08-29	DELIVER IN PERSON	TRUCK	ts. furiously silent hockey players 
578786432	11245108	245109	4	38.00	39996.52	0.03	0.01	N	O	1998-08-04	1998-10-17	1998-08-07	NONE	AIR	deas. final accounts boost pinto b
599692096	17819896	319931	1	38.00	68970.00	0.10	0.03	N	O	1998-10-30	1998-10-03	1998-11-09	NONE	TRUCK	uriously express
599692096	18990263	240282	2	8.00	10818.56	0.08	0.06	N	O	1998-11-06	1998-09-02	1998-11-19	DELIVER IN PERSON	REG AIR	silent deposits sleep quickly ab
599692096	9337213	587223	3	32.00	39992.00	0.08	0.05	N	O	1998-12-01	1998-10-20	1998-12-21	DELIVER IN PERSON	TRUCK	ironic dolp
